Occ_ID,IT_Occupation,Detailed_Abilities
IT.11.SD.02,Architect Fullstack,solid knowledge of object oriented software design
IT.09.PPM.00,Product Manager Or Marketing Manager,have an understanding of agile scrum methodology
IT.05.ERPM.02,Erp Architect,should have good understanding of sap best practice
IT.05.ERPM.02,Erp Architect,good knowledge in integration with sap fi is essential
IT.05.ERPM.02,Erp Architect,advanced programming knowledge in sap advanced business application programming abap development testing and solid knowledge of sap overall
IT.05.ERPM.02,Erp Architect,must have strong analytical skill and can demonstrate strong problem solving skill
IT.06.IS.02,Cybersecurity Architect Or Head Cybersecurity,
IT.02.AIBI.05,Ai Architect,to 10 year of experience in the industry ideally banking ecommerce telecom retail and consulting with a demonstrated track record of leveraging advanced analytics to achieve business impact
IT.02.AIBI.05,Ai Architect,familiar with mainstream deep learning programming framework e g tensorflow
IT.02.AIBI.05,Ai Architect,knowledge of 1 or more of python r sql
IT.13.TML.01,Director Of Programs,
IT.01.AD.01,Senior Mobile Developer,proficient understanding of code versioning tool such a git or svn n
IT.03.CS.02,Architect Customer Support Engineer Or Architect Customer Success Engineer,
IT.01.AD.02,Mobility Architect,familiarity with push notification apis and cloud messaging
IT.04.DMA.00,Dba Or Database Developer,familiar with sql and relational database theory and knowledge
IT.02.AIBI.02,Bi Architect Or Dw Architect,strong business domain knowledge in banking cash and payment minimum 12 of relevant banking and or consulting experience
IT.10.PDCS.04,Sme Cloud Or  Cloud Architect,
IT.04.DMA.02,Sme Dba,
IT.14.UE.02,User Experience Architect,
IT.09.PPM.02,Director Of Products,
