Occ_ID,IT_Occupation,Detailed_Abilities
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,excellent organisational administration and time management skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,ability to work cooperatively with the team
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,interpersonal and strong communication skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,strong troubleshooting and analytical skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,a team player with excellent interpersonal skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,posse strong presentation written and verbal communication skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good communication and inter personnel skill are required
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good communication and stakeholder management skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good interpersonal communication and presentation skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,must be a highly motivated individual that can work a part of team to accomplish goal
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good command of english with clear concise and verbal communication skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,posse good interpersonal and communication skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good analytical and management skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good analytical and project management skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,have good communication skill verbal and written english
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,posse strong analytical problem solving communication and interpersonal skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,posse strong interpersonal and communication skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,excellent troubleshooting investigation skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,posse good communication written and oral skill in english language
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,strong customer service skill with high level of professionalism and ability to work in complex situation
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,strong critical thinking and problem solving skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,proficient in written and spoken english
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,develop and maintain a strong relationship with new and existing customer
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,excellent customer service skill required
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good team player who can work independently and cross departmental
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,time management skill with the ability to prioritise effectively
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,required skill s desktop end user support outlook vpn
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,work independently and self motivated
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,excellent communication and customer service skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,excellent problem solving skill ability to troubleshoot and resolve issue without unnecessary escalation to higher level of support
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,fluent in english both written and oral
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good working attitude and team player
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,meticulous with keen eye for detail
IT.07.ITIA.02,System Engineer,excellent english communication skill both verbal and written
IT.07.ITIA.02,System Engineer,strong analytical and problem solving skill
IT.07.ITIA.02,System Engineer,a good team player with good interpersonal and communication skill
IT.07.ITIA.02,System Engineer,ability to work independently and in a team
IT.07.ITIA.02,System Engineer,posse good interpersonal and verbal written communication skill
IT.07.ITIA.02,System Engineer,team work and good communication skill
IT.07.ITIA.02,System Engineer,excellent communication and customer service skill
IT.07.ITIA.02,System Engineer,strong skill in troubleshooting and problem solving
IT.07.ITIA.02,System Engineer,good interpersonal communication and presentation skill
IT.07.ITIA.02,System Engineer,great organizational and time management skill
IT.07.ITIA.02,System Engineer,excellent communication interpersonal skill effective consulting and communication skill
IT.07.ITIA.02,System Engineer,positive self motivated individual who can complete task independently and a team player
IT.07.ITIA.02,System Engineer,good command of spoken and written english
IT.07.ITIA.02,System Engineer,strong problem solving skill team player
IT.07.ITIA.02,System Engineer,good troubleshooting and diagnostics skill
IT.07.ITIA.02,System Engineer,good stakeholder management and interpersonal skill
IT.07.ITIA.02,System Engineer,fluent in english spoken and written
IT.07.ITIA.02,System Engineer,degree in electrical electronic telecommunication or computer engineering
IT.07.ITIA.02,System Engineer,strong communication and interpersonal skill
IT.07.ITIA.02,System Engineer,posse strong interpersonal and communication skill
IT.07.ITIA.02,System Engineer,a team player with a positive working attitude
IT.08.NA.00,Network Admin Or System Admin,good communication skill both written and oral
IT.08.NA.00,Network Admin Or System Admin,strong analytical and problem solving skill
IT.08.NA.00,Network Admin Or System Admin,a team player with excellent interpersonal and communication skill
IT.08.NA.00,Network Admin Or System Admin,posse excellent communication skill and interpersonal skill
IT.08.NA.00,Network Admin Or System Admin,strong organizational and time management skill
IT.08.NA.00,Network Admin Or System Admin,excellent in verbal written communication
IT.08.NA.00,Network Admin Or System Admin,good customer service and communication skill
IT.08.NA.00,Network Admin Or System Admin,ability to work independently and in a team
IT.08.NA.00,Network Admin Or System Admin,strong troubleshooting and analytical skill
IT.08.NA.00,Network Admin Or System Admin,posse strong interpersonal and communication skill
IT.08.NA.00,Network Admin Or System Admin,good command of spoken and written english
IT.07.ITIA.00,It Administrator,strong communication skill both verbal and written
IT.07.ITIA.00,It Administrator,strong analytical conceptualisation and problem solving skill
IT.07.ITIA.00,It Administrator,good communication and analytical skill
IT.07.ITIA.00,It Administrator,team player with strong communication and interpersonal skill
IT.07.ITIA.00,It Administrator,posse strong and assertive verbal written communication skill and presentation skill
IT.07.ITIA.00,It Administrator,strong skill in presentation interpersonal verbal and written communication
IT.07.ITIA.00,It Administrator,strong interpersonal and communication skill
IT.07.ITIA.00,It Administrator,strong troubleshooting and analytical skill
IT.07.ITIA.00,It Administrator,good communication skill both oral and written with the ability to present idea and influence stakeholder
IT.07.ITIA.00,It Administrator,strong interpersonal oral and written communication skill
IT.07.ITIA.00,It Administrator,ability to work independently and a a team
IT.07.ITIA.00,It Administrator,strong time management and organisational skill
IT.07.ITIA.00,It Administrator,self motivated driven a good team player and ability to multi task and
IT.07.ITIA.00,It Administrator,posse strong analytical thinking skill and willingness to learn
IT.07.ITIA.00,It Administrator,good technical and analytical skill
IT.07.ITIA.00,It Administrator,fluent in spoken and written english
IT.07.ITIA.00,It Administrator,excellent project management skill and strong ability to prioritize
IT.05.ERPM.01,Erp Consultant,excellent communication skill both written and verbal
IT.05.ERPM.01,Erp Consultant,strong analytical and troubleshooting skill
IT.05.ERPM.01,Erp Consultant,excellent analytical interpersonal communication skill
IT.05.ERPM.01,Erp Consultant,strong communication and interpersonal skill
IT.05.ERPM.01,Erp Consultant,excellent communication interpersonal and client skill with a strong emphasis on presentation
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,strong oral and written communication skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,strong analytical and troubleshooting skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,exceptional interpersonal and communication skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,good communication inter personnel skill is required
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,team player with good interpersonal and communication skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,effective time management organisation and planning skill are essential
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,1 good communication skill and a team player to work in a dynamic and high performing environment
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,good communication and presentation skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,good interpersonal skill and customer focus
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,ability to work independently and or in a team
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,posse excellent verbal and written communication skill to work effectively with stakeholder at various level in the organization
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,posse strong communication and interpersonal skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,excellent problem solving critical thinking and analysis skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,excellent communication skill and an ability to concisely explain issue and complex solution
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,posse strong and assertive verbal written communication skill and presentation skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,proficient in written and spoken english
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,strong presentation and communication skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,excellent troubleshooting and analytical skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,excellent leadership and interpersonal skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,excellent communication and customer service skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,strong stakeholder agency management skill
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,fluent in english spoken and written
IT.03.CS.01,Lead Customersupport Engineer Or Lead Customer Success Engineer,excellent project management skill and strong ability to prioritize
IT.09.PPM.04,Senior Project Manager,excellent verbal written communication and presentation skill
IT.09.PPM.04,Senior Project Manager,d strong analytical conceptualisation and problem solving skill
IT.09.PPM.04,Senior Project Manager,strong interpersonal skill with the ability to manage stakeholder at all level
IT.09.PPM.04,Senior Project Manager,strong project management skill with the ability to work and track multiple project simultaneously
IT.09.PPM.04,Senior Project Manager,strong organisation and time management skill
IT.09.PPM.04,Senior Project Manager,strong interpersonal communication and presentation skill
IT.09.PPM.04,Senior Project Manager,leadership and strong communication skill
IT.09.PPM.04,Senior Project Manager,posse good interpersonal and written communication skill
IT.09.PPM.04,Senior Project Manager,ability to work independently and in a team
IT.09.PPM.04,Senior Project Manager,solid organisational skill including attention to detail and multitasking skill
IT.09.PPM.04,Senior Project Manager,strong verbal written and presentation skill
IT.09.PPM.04,Senior Project Manager,team player with strong communication and interpersonal skill
IT.09.PPM.04,Senior Project Manager,strong critical and analytical thinking skill
IT.09.PPM.04,Senior Project Manager,strong team player with good written and verbal communication skill
IT.09.PPM.04,Senior Project Manager,strong interpersonal analytical and communication skill
IT.09.PPM.04,Senior Project Manager,strong leadership quality and interpersonal skill
IT.09.PPM.04,Senior Project Manager,meticulous with a strong attention to detail
IT.09.PPM.04,Senior Project Manager,good negotiation and presentation skill
IT.09.PPM.04,Senior Project Manager,good command of both spoken and written english
IT.09.PPM.04,Senior Project Manager,excellent oral and written communication
IT.09.PPM.04,Senior Project Manager,stakeholder management
IT.09.PPM.04,Senior Project Manager,strong planning and organizational ability
IT.09.PPM.04,Senior Project Manager,excellent leadership communication and interpersonal skill
IT.09.PPM.04,Senior Project Manager,team player with excellent communication skill
IT.09.PPM.04,Senior Project Manager,strong leadership organization and planning skill
IT.09.PPM.04,Senior Project Manager,excellent writing and presentation skill
IT.09.PPM.04,Senior Project Manager,good problem solving and communication skill
IT.09.PPM.04,Senior Project Manager,excellent communication organizational and time management skill
IT.09.PPM.04,Senior Project Manager,strong negotiation influencing communication and presentation skill
IT.09.PPM.04,Senior Project Manager,strong leadership and people management skill
IT.09.PPM.04,Senior Project Manager,posse leadership skill in people management
IT.09.PPM.04,Senior Project Manager,strong organizational and communication skill
IT.09.PPM.04,Senior Project Manager,good interpersonal and leadership skill
IT.09.PPM.04,Senior Project Manager,strong analytical skill and communication skill
IT.09.PPM.04,Senior Project Manager,posse strong interpersonal and communication skill
IT.09.PPM.04,Senior Project Manager,excellent communication skill both oral and written with ability to pitch idea and influence stakeholder
IT.09.PPM.04,Senior Project Manager,great communication skill and customer centric
IT.09.PPM.04,Senior Project Manager,excellent analytical skill strong interpersonal skill and extremely resourceful
IT.09.PPM.04,Senior Project Manager,vp data engineer group consumer banking and big data analytics technology wd32991
IT.09.PPM.04,Senior Project Manager,good analytical skill writing and presentation skill and meticulous and multitasker
IT.09.PPM.04,Senior Project Manager,strong vendor management skill and negotiation skill
IT.09.PPM.04,Senior Project Manager,certification in project management pmi pmp is a strong plus
IT.09.PPM.04,Senior Project Manager,good analytical and organisational skill
IT.09.PPM.04,Senior Project Manager,team player with strong organization and people management skill and
IT.09.PPM.04,Senior Project Manager,effective influencing and negotiation skill
IT.09.PPM.04,Senior Project Manager,management and communication with project stakeholder
IT.09.PPM.04,Senior Project Manager,fluent in written and spoken of english
IT.09.PPM.04,Senior Project Manager,ability to communicate technical information to a non technical audience
IT.09.PPM.04,Senior Project Manager,interpersonal communication skill
IT.09.PPM.04,Senior Project Manager,strong interpersonal skill and extremely resourceful
IT.09.PPM.04,Senior Project Manager,strong communication skill ability to engage stakeholder on different level of the organization to plan and execute on agreed timeline
IT.09.PPM.04,Senior Project Manager,strong management and leadership skill
IT.09.PPM.04,Senior Project Manager,strong time management and prioritization skill
IT.09.PPM.04,Senior Project Manager,ability to work effectively in a team environment
IT.09.PPM.04,Senior Project Manager,good problem solving and troubleshooting skill
IT.09.PPM.04,Senior Project Manager,establish and maintain good business relationship with stakeholder to influence and achieve business goal
IT.09.PPM.04,Senior Project Manager,plan collaborate across different application team to manage technical dependency of the solution
IT.09.PPM.04,Senior Project Manager,good interpersonal skill excellent presentation and project management skill
IT.09.PPM.04,Senior Project Manager,solid writing and speaking skill in english
IT.09.PPM.04,Senior Project Manager,good leadership decision making communication and organization skill
IT.09.PPM.04,Senior Project Manager,strong interpersonal skill with the ability to work with different group of stakeholder
IT.09.PPM.04,Senior Project Manager,attention to detail and strong analytical skill
IT.09.PPM.04,Senior Project Manager,excellent organizational program and project management skill
IT.09.PPM.04,Senior Project Manager,strong analytical management and planning skill
IT.09.PPM.04,Senior Project Manager,good team player and positive attitude
IT.09.PPM.04,Senior Project Manager,ability to work in a fast paced team oriented environment
IT.09.PPM.04,Senior Project Manager,mentoring junior member of the team
IT.09.PPM.04,Senior Project Manager,build strong customer relationship
IT.09.PPM.04,Senior Project Manager,effective interpersonal and oral communication skill
IT.09.PPM.04,Senior Project Manager,proficient in written and spoken english
IT.09.PPM.04,Senior Project Manager,strong communication negotiation skill
IT.09.PPM.04,Senior Project Manager,excellent facilitation and presentation skill
IT.09.PPM.04,Senior Project Manager,excellent communication and time management skill
IT.09.PPM.04,Senior Project Manager,n team player with strong organisation and people management skill
IT.09.PPM.04,Senior Project Manager,strong stakeholder management including vendor management
IT.09.PPM.04,Senior Project Manager,increased acumen for planning strong time management skill and ability to multi task and manage multiple project
IT.09.PPM.04,Senior Project Manager,self motivated driven a good team player and ability to multi task and
IT.09.PPM.04,Senior Project Manager,2 good communication documentation organizational and interpersonal skill
IT.09.PPM.04,Senior Project Manager,effective negotiation and conflict management skill
IT.09.PPM.04,Senior Project Manager,prepare and manage technical implementation plan across application team coordinate technical implementation activity across application team to ensure non event production cutover and adequate post implementation support
IT.02.AIBI.03,Data Science Engineer,strong communication skill both verbal and written
IT.02.AIBI.03,Data Science Engineer,strong analytical and quantitative skill
IT.02.AIBI.03,Data Science Engineer,strong programming skill in c c++ and python
IT.02.AIBI.03,Data Science Engineer,team player with good communication skill
IT.02.AIBI.03,Data Science Engineer,ability to work independently and a part of a team
IT.02.AIBI.03,Data Science Engineer,team player with strong communication and interpersonal skill
IT.02.AIBI.03,Data Science Engineer,posse strong written verbal communication and presentation skill
IT.02.AIBI.03,Data Science Engineer,strong presentation communication skill
IT.02.AIBI.03,Data Science Engineer,excellent communication and stakeholder management skill
IT.02.AIBI.03,Data Science Engineer,strong decision making and analytical skill
IT.02.AIBI.03,Data Science Engineer,strong communication and interpersonal skill
IT.02.AIBI.03,Data Science Engineer,strong analytical skill with the ability to collect organize analyse and disseminate significant amount of information with attention to detail and accuracy
IT.02.AIBI.03,Data Science Engineer,great organizational and time management skill
IT.02.AIBI.03,Data Science Engineer,good reading and writing english skill
IT.02.AIBI.03,Data Science Engineer,posse good critical thinking and problem solving skill
IT.02.AIBI.03,Data Science Engineer,team player self motivated and the ability to work independently
IT.02.AIBI.03,Data Science Engineer,e good interpersonal and communication skill
IT.02.AIBI.03,Data Science Engineer,excellent communication interpersonal relationship skill and a strong team player
IT.02.AIBI.03,Data Science Engineer,proficient in written and spoken english
IT.02.AIBI.03,Data Science Engineer,posse good interpersonal presentation and communication skill
IT.02.AIBI.03,Data Science Engineer,good presentation and writing skill
IT.02.AIBI.03,Data Science Engineer,posse strong communication and problem solving skill
IT.02.AIBI.03,Data Science Engineer,strong analytical skill and critical thinking
IT.02.AIBI.03,Data Science Engineer,fluency in written and spoken english
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,strong oral and written communication skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,strong problem solving and analytical skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,good interpersonal and stakeholder management skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,good interpersonal skill and a team player
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,strong presentation and communication skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,ability to work independently and in a team
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,good presentation and communication skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,strong analytical writing and communication skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,good interpersonal and analytical skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,strong communication and interpersonal skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,analytical critical thinking skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,strong analytical and communication skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,excellent communication skill with the ability to communicate technical matter to a non technical audience
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,effective time management and organisational skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,ability to deliver good presentation negotiation interpersonal and communication skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,posse strong communication presentation and interpersonal skill
IT.06.IS.01,Compliance And Risk Analyst Or Cybersecuirty Manager,strong project management skill and detailed oriented
IT.09.PPM.03,Project Manager,excellent communication skill both written and verbal
IT.09.PPM.03,Project Manager,strong problem solving and analytical skill
IT.09.PPM.03,Project Manager,strong communication and interpersonal skill
IT.09.PPM.03,Project Manager,excellent organization and time management skill
IT.09.PPM.03,Project Manager,a team player with excellent communication and interpersonal skill
IT.09.PPM.03,Project Manager,strong communication and presentation skill
IT.09.PPM.03,Project Manager,posse strong communication skill in writing and verbal
IT.09.PPM.03,Project Manager,posse strong interpersonal and communication skill
IT.02.AIBI.00,Bi Developer Or Dw Engineer,strong written and verbal communication skill
IT.02.AIBI.00,Bi Developer Or Dw Engineer,strong analytical conceptualisation and problem solving skill
IT.02.AIBI.00,Bi Developer Or Dw Engineer,excellent listening interpersonal and communication skill
IT.02.AIBI.00,Bi Developer Or Dw Engineer,strong stakeholder management and communication skill
IT.02.AIBI.00,Bi Developer Or Dw Engineer,strong communication and presentation skill
IT.02.AIBI.00,Bi Developer Or Dw Engineer,strong interpersonal skill and a team player
IT.04.DMA.01,Lead Dba,excellent written and verbal communication skill
IT.04.DMA.01,Lead Dba,strong analytical and problem solving skill
IT.13.TML.03,Chief Architect,excellent communication skill both written and verbal
IT.13.TML.03,Chief Architect,strong analytical conceptualisation and problem solving skill
IT.13.TML.03,Chief Architect,strong and effective stakeholder management and communication skill
IT.13.TML.03,Chief Architect,team player with effective interpersonal and communication skill
IT.13.TML.03,Chief Architect,ability to communicate clearly in both writing and verbally
IT.13.TML.03,Chief Architect,strong communication and interpersonal skill
IT.13.TML.03,Chief Architect,strong communication and presentation skill
IT.13.TML.03,Chief Architect,excellent communication skill with a strong ability to interact with all level of customer
IT.13.TML.03,Chief Architect,good problem solving and communication skill
IT.13.TML.03,Chief Architect,excellent verbal and written communication skill and a team player
IT.13.TML.03,Chief Architect,proficient in written and spoken english
IT.13.TML.03,Chief Architect,strong problem solving and critical thinking skill
IT.13.TML.03,Chief Architect,strong leadership and organizational skill
IT.05.ERPM.00,Lead Erp Consultant,excellent written verbal communication skill
IT.05.ERPM.00,Lead Erp Consultant,strong analytical and troubleshooting skill
IT.05.ERPM.00,Lead Erp Consultant,strong stakeholder management skill
IT.05.ERPM.00,Lead Erp Consultant,strong communication skill and a team player
IT.05.ERPM.00,Lead Erp Consultant,good interpersonal communication and presentation skill
IT.05.ERPM.00,Lead Erp Consultant,strong verbal and written communication skill in english
IT.05.ERPM.00,Lead Erp Consultant,superb communication and effective interpersonal skill
IT.05.ERPM.00,Lead Erp Consultant,good organisational skill with multi tasking and time management
IT.05.ERPM.00,Lead Erp Consultant,confident interpersonal skill communication and presentation skill
IT.05.ERPM.00,Lead Erp Consultant,fluent in english written and verbal
IT.05.ERPM.00,Lead Erp Consultant,good problem solving troubleshooting skill
IT.05.ERPM.00,Lead Erp Consultant,good communication interpersonal skill
IT.05.ERPM.00,Lead Erp Consultant,good interpersonal skill and teamwork
IT.05.ERPM.00,Lead Erp Consultant,ability to work independently or a part of a team
IT.13.TML.02,Principal Architect,good communication and presentation skill both written and oral
IT.13.TML.02,Principal Architect,strong analytical skill and communication skill
IT.13.TML.02,Principal Architect,team player with great interpersonal and communication skill
IT.13.TML.02,Principal Architect,good interpersonal communication and problem solving skill
IT.13.TML.02,Principal Architect,develop strong interpersonal and communication skill
IT.13.TML.02,Principal Architect,posse strong writing verbal communication and presentation skill 3
IT.13.TML.02,Principal Architect,good communication presentation and interpersonal skill
IT.13.TML.02,Principal Architect,good communication skill and team player
IT.13.TML.02,Principal Architect,good presentation communication and writing skill
IT.13.TML.02,Principal Architect,must be strong in analytical critical thinking and problem solving skill
IT.13.TML.02,Principal Architect,strong communication skill and ability to influence to gain consensus from multiple stakeholder when required
IT.12.TA.02,Scrum Master,excellent written and spoken communication skill
IT.12.TA.02,Scrum Master,strong analytical conceptualisation and problem solving skill
IT.12.TA.02,Scrum Master,good interpersonal communication and presentation skill
IT.10.PDCS.02,Cloud Engineer,strong written and verbal communication skill
IT.10.PDCS.02,Cloud Engineer,excellent problem solving and analytical skill
IT.12.TA.00,Lead Qa Engineer,strong written and verbal communication skill
IT.12.TA.00,Lead Qa Engineer,strong analytical and troubleshooting skill
IT.12.TA.00,Lead Qa Engineer,strong interpersonal skill with the ability to work both independently and a part of a team
IT.12.TA.00,Lead Qa Engineer,excellent communication skill a team player
IT.12.TA.00,Lead Qa Engineer,ø good communication skill presentation skill negotiation skill and stakeholder management
IT.12.TA.00,Lead Qa Engineer,good communication presentation skill
IT.01.AD.00,Mobile Developer,excellent written and oral communication skill
IT.01.AD.00,Mobile Developer,strong analytical and problem solving skill
IT.01.AD.00,Mobile Developer,collaborate with cross functional team to define design and ship new feature
IT.01.AD.00,Mobile Developer,mobile io and android app development
IT.02.AIBI.01,Bi Lead Or Dw Lead,excellent communication skill both written and oral
IT.02.AIBI.01,Bi Lead Or Dw Lead,sharp analytical and problem solving skill with confidence to constantly push the boundary
IT.02.AIBI.01,Bi Lead Or Dw Lead,excellent communication and stakeholder management skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,good at teamwork and communication skill with ability to work under pressure
IT.02.AIBI.01,Bi Lead Or Dw Lead,strong communication and presentation skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,ability to work independently while also being a good team player
IT.02.AIBI.01,Bi Lead Or Dw Lead,effective communication and presentation skill both written and oral
IT.02.AIBI.01,Bi Lead Or Dw Lead,good analytical and communication skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,good time management and organizational skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,strong verbal communication and presentation skill that speaks of story telling element
IT.02.AIBI.01,Bi Lead Or Dw Lead,strong analytical and critical thinking skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,strong attention to detail and strong analytical skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,strong communication and interpersonal skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,strong written and verbal communication with emphasis in technical writing skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,strong interpersonal communication and presentation skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,good interpersonal communication and customer service skill
IT.02.AIBI.01,Bi Lead Or Dw Lead,analytical and communication skill
