Occ_ID,IT_Occupation,Worker_Characteristics
IT.10.PDCS.03,Lead Engineer Cloud,relationship building acumen proven track record of building deep technical relationship with senior it executive in large or highly strategic account experience in managing various stakeholder relationship to get consensus on solution project
IT.11.SD.03,Qa Engineer,strong analytical and critical thinking skill
IT.11.SD.03,Qa Engineer,have passion and enthusiasm to master new technology
IT.11.SD.03,Qa Engineer,good communication and presentation skill confident communicator
IT.11.SD.03,Qa Engineer,proactive motivated and a team player
IT.07.ITIA.04,Sme Systems,
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,good critical thinking skill and problem solving skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,robust stakeholder management and interpersonal skill ability to work confidently and collaboratively with cross functional stakeholder of varying seniority
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,strong attention to detail excellent analytical and problem solving skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,excellent organizational skill and attention to detail
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,self driven positive attitude and team player
IT.09.PPM.01,Senior Product Manager Or Senior Marketing Manager,team player with a positive and eager to learn attitude
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,strong analytical and problem solving skill with attention to detail
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,self motivated with strong sense of responsibility
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,self motivated to learn and a team player
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,posse good learning capability and demonstrate critical thinking skill
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,excellent communication skill and attention to detail
IT.14.UE.01,User Experience Lead,good critical thinking and analytical skill
IT.14.UE.01,User Experience Lead,excellent organizational skill and strong attention to detail
IT.14.UE.01,User Experience Lead,strong problem solving skill and attention to detail
IT.14.UE.01,User Experience Lead,good communication skill can do attitude and willing to learn
IT.14.UE.01,User Experience Lead,self motivated with ability to drive new initiative
IT.05.ERPM.03,App Engineer Crm,strong analytical and critical thinking skill
IT.07.ITIA.01,Head Of It,
IT.10.PDCS.00,Devops Lead Or Sre Lead,strong analytical and critical thinking skill
IT.11.SD.02,Architect Fullstack,passionate about innovating learning new skill and technology
IT.09.PPM.00,Product Manager Or Marketing Manager,self driven positive attitude and team player
IT.05.ERPM.02,Erp Architect,
IT.06.IS.02,Cybersecurity Architect Or Head Cybersecurity,
IT.02.AIBI.05,Ai Architect,demonstrated critical thinking and problem solving ability
IT.02.AIBI.05,Ai Architect,strong interpersonal skill to engage and collaborate with stakeholder
IT.13.TML.01,Director Of Programs,
IT.01.AD.01,Senior Mobile Developer,collaborate with a team to define design and ship new feature
IT.03.CS.02,Architect Customer Support Engineer Or Architect Customer Success Engineer,
IT.01.AD.02,Mobility Architect,collaborate with cross functional team to define design test ship and support new feature
IT.04.DMA.00,Dba Or Database Developer,
IT.02.AIBI.02,Bi Architect Or Dw Architect,
IT.10.PDCS.04,Sme Cloud Or  Cloud Architect,
IT.04.DMA.02,Sme Dba,
IT.14.UE.02,User Experience Architect,
IT.09.PPM.02,Director Of Products,
